ID,BIC,p,q,P,Q,log_likelihood,n_params,aic
15,839.8750300471439,0,1,1,2,-406.3972640180609,5,822.7945280361218
21,840.3393088557832,0,2,0,2,-406.640539298254,5,823.281078596508
12,840.521110903559,0,1,0,2,-409.42835464737067,4,826.8567092947413
24,840.5866148635346,0,2,1,2,-404.0583692762022,6,820.1167385524044
142,840.7394964478431,3,0,2,0,-404.13481006835644,6,820.2696201367129
39,841.3337158373757,0,4,0,2,-401.7574870821349,7,817.5149741642698
16,842.4472672829312,0,1,2,0,-410.3737336065028,4,828.7474672130056
30,842.5538092575716,0,3,0,2,-405.0553893144055,6,822.110778628811
33,842.7049331403513,0,3,1,2,-402.4273653700652,7,818.8547307401304
42,843.0660227108963,0,4,1,2,-399.922301827959,8,815.844603655918
187,843.3484734907876,4,0,2,0,-402.74913554528337,7,819.4982710905667
143,843.4653996749332,3,0,2,1,-402.791938655974,7,819.583877311948
60,843.7891966888855,1,1,1,2,-405.6462971378295,6,823.292594275659
61,843.8311570411686,1,1,2,0,-408.3642410224036,5,826.7284820448072
57,843.8560326630433,1,1,0,2,-408.3877653260106,5,826.7755306520212
106,844.6242331866871,2,1,2,0,-406.0638153867303,6,824.1276307734606
18,844.7728792851093,0,1,2,2,-406.1381384359414,6,824.2762768718828
17,845.1835422160489,0,1,2,1,-409.0293960643209,5,828.0587921286418
66,845.4955305807875,1,2,0,2,-406.5128271348286,6,825.0256542696573
151,845.7538054016642,3,1,2,0,-403.93614151933946,7,821.8722830386789
69,845.7761809166575,1,2,1,2,-403.9473292768361,7,821.8946585536722
27,845.784747344617,0,2,2,2,-403.9516124908159,7,821.9032249816318
25,845.8566486409304,0,2,2,0,-409.3659492767617,5,828.7318985535234
188,846.1090343609835,4,0,2,1,-401.4258300946513,8,818.8516601893026
84,846.3590175325464,1,4,0,2,-401.5687992387841,8,819.1375984775682
62,846.7307396466593,1,1,2,1,-407.1037648255128,6,826.2075296510257
75,846.9715402514136,1,3,0,2,-404.56066892559636,7,823.1213378511927
102,847.0572388830543,2,1,0,2,-407.2803182349139,6,826.5606364698278
105,847.3694512013421,2,1,1,2,-404.7283741929556,7,823.4567483859112
107,847.5590532220076,2,1,2,1,-404.8231752032883,7,823.6463504065766
87,847.628632868875,1,4,1,2,-399.5022682160122,9,817.0045364320245
78,847.7283635640813,1,3,1,2,-402.2354946962002,8,820.4709893924004
36,847.7933385932198,0,3,2,2,-402.26798221076945,8,820.5359644215389
111,848.1496417456029,2,2,0,2,-405.13405969130883,7,824.2681193826177
45,848.2084692330161,0,4,2,2,-399.7921863980828,9,817.5843727961656
70,848.3007709544289,1,2,2,0,-407.8887804793976,6,827.7775609587952
196,848.3637093977981,4,1,2,0,-402.5531676130586,8,821.1063352261172
97,848.416730919003,2,0,2,0,-410.6681144539905,5,831.336228907981
152,848.7523774412556,3,1,2,1,-402.7296045132076,8,821.4592090264152
26,848.7993049171018,0,2,2,1,-408.1248024061067,6,828.2496048122134
63,848.8462861578838,1,1,2,2,-405.4667916712264,7,824.9335833424528
144,848.8539237745366,3,0,2,2,-402.78037767984813,8,821.5607553596963
138,849.0628622401648,3,0,0,2,-408.26982612226556,6,828.5396522445311
141,849.2279177463524,3,0,1,2,-405.64208637572324,7,825.2841727514465
114,849.4794913736658,2,2,1,2,-403.09316147941274,8,822.1863229588255
115,849.5182231844294,2,2,2,0,-405.8027601844992,7,825.6055203689984
